# slug | brand | code | assigned_leaf | price | title | description
neff-11057829 | Neff | 11057829 | dishwasher-accessories | 9.92 | "Cutlery basket Cutlery Basket" | "Cutlery basket Cutlery Basket"
neff-12005926 | Neff | 12005926 | dishwasher-accessories | 14.58 | "Dishwasher Mains Power Cable" | "Dishwasher Mains Power Cable"
neff-12009727 | Neff | 12009727 | cooker-hood-accessories | 15.82 | "Standard Odour Filter" | "Standard Odour Filter"
neff-12028344 | Neff | 12028344 | refrigeration-accessories | 9.14 | "Butter Dish" | "Butter Dish"
neff-12054975 | Neff | 12054975 | cooking-accessories | 34.93 | "Multi-use wire shelf Full steam without railing, stainless steel 455 x 375 x 31 mm" | "Multi-use wire shelf Full steam without railing, stainless steel"
neff-17000339 | Neff | 17000339 | hob-accessories | 182.89 | "Griddle Plate" | "Griddle Plate"
neff-17000903 | Neff | 17000903 | cooking-accessories | 43.8 | "Glass Roaster with Lid (5.4L)" | "Glass Roaster with Lid (5.4L)"
neff-17001211 | Neff | 17001211 | kitchen-utensils | 13.98 | "Mepal Cirqula Food Storage Bowl - 500ml (Nordic Blue)" | "Mepal Cirqula Food Storage Bowl - 500ml (Nordic Blue)"
neff-17001215 | Neff | 17001215 | kitchen-utensils | 13.12 | "Mepal Cirqula Food Storage Bowl - 500ml (Nordic White)" | "Mepal Cirqula Food Storage Bowl - 500ml (Nordic White)"
neff-17001217 | Neff | 17001217 | kitchen-utensils | no-price | "Mepal Cirqula Food Storage Bowl - 500ml (Nordic Blush)" | "Mepal Cirqula Food Storage Bowl - 500ml (Nordic Blush)"
neff-17001222 | Neff | 17001222 | kitchen-utensils | 17.22 | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic Blue)" | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic Blue)"
neff-17001224 | Neff | 17001224 | kitchen-utensils | 17.22 | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic White)" | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic White)"
neff-17001229 | Neff | 17001229 | kitchen-utensils | no-price | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic Blush)" | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic Blush)"
neff-17001233 | Neff | 17001233 | kitchen-utensils | 19.36 | "Mepal Cirqula Food Storage Bowl - 1L (Nordic Blue)" | "Mepal Cirqula Food Storage Bowl - 1L (Nordic Blue)"
neff-17001234 | Neff | 17001234 | kitchen-utensils | 19.36 | "Mepal Cirqula Food Storage Bowl - 1L (Nordic White)" | "Mepal Cirqula Food Storage Bowl - 1L (Nordic White)"
neff-17001243 | Neff | 17001243 | kitchen-utensils | 19.13 | "Mepal Cirqula Food Storage Bowl - 1.25L (Nordic Blue)" | "Mepal Cirqula Food Storage Bowl - 1.25L (Nordic Blue)"
neff-17001245 | Neff | 17001245 | kitchen-utensils | 23.66 | "Mepal Cirqula Food Storage Bowl - 1.25L (Nordic White)" | "Mepal Cirqula Food Storage Bowl - 1.25L (Nordic White)"
neff-17001247 | Neff | 17001247 | kitchen-utensils | no-price | "Mepal Cirqula Food Storage Bowl - 1.25L (Nordic Blush)" | "Mepal Cirqula Food Storage Bowl - 1.25L (Nordic Blush)"
neff-17001251 | Neff | 17001251 | kitchen-utensils | 30.1 | "Mepal Cirqula Food Storage Bowl - 2L (Nordic Blue)" | "Mepal Cirqula Food Storage Bowl - 2L (Nordic Blue)"
neff-17001253 | Neff | 17001253 | kitchen-utensils | 30.1 | "Mepal Cirqula Food Storage Bowl - 2L (Nordic White)" | "Mepal Cirqula Food Storage Bowl - 2L (Nordic White)"
neff-17001259 | Neff | 17001259 | kitchen-utensils | 17.77 | "Rosti Mepal Optima Salad Tongs (burgundy red)" | "Rosti Mepal Optima Salad Tongs (burgundy red)"
neff-17001261 | Neff | 17001261 | kitchen-utensils | 12.58 | "Rosti Mepal Optima Salad Tongs (lime)" | "Rosti Mepal Optima Salad Tongs (lime)"
neff-17001425 | Neff | 17001425 | cooker-hood-accessories | 234.1 | "Lowering frame 90 cm" | "Lowering frame 90 cm"
neff-17001426 | Neff | 17001426 | cooker-hood-accessories | 204.71 | "Lowering Frame" | "Lowering Frame"
neff-17002189 | Neff | 17002189 | cooker-hood-accessories | 289.16 | "Long Life recirculation kit" | "Long Life recirculation kit"
neff-17002406 | Neff | 17002406 | kitchen-utensils | no-price | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic Berry)" | "Mepal Cirqula Food Storage Bowl - 750ml (Nordic Berry)"
neff-17002409 | Neff | 17002409 | kitchen-utensils | 30.1 | "Mepal Cirqula Food Storage Bowl - 2L (Nordic Berry)" | "Mepal Cirqula Food Storage Bowl - 2L (Nordic Berry)"
neff-17002417 | Neff | 17002417 | kitchen-utensils | 11.34 | "Salad Server Set - 2pcs (Nordic Berry)" | "Salad Server Set - 2pcs (Nordic Berry)"
neff-17002418 | Neff | 17002418 | kitchen-utensils | 12.38 | "Mepal Omnia Storage Jar - 700ml (Nordic White)" | "Mepal Omnia Storage Jar - 700ml (Nordic White)"
neff-17002419 | Neff | 17002419 | kitchen-utensils | 15.76 | "Mepal Omnia Storage Jar - 700ml (Black)" | "Mepal Omnia Storage Jar - 700ml (Black)"
neff-17002422 | Neff | 17002422 | kitchen-utensils | 10.73 | "Mepal Omnia Storage Jar - 700ml (Nordic Green)" | "Mepal Omnia Storage Jar - 700ml (Nordic Green)"
neff-17002423 | Neff | 17002423 | kitchen-utensils | 13.64 | "Mepal Omnia Storage Jar - 1.1L (Nordic White)" | "Mepal Omnia Storage Jar - 1.1L (Nordic White)"
neff-17002424 | Neff | 17002424 | kitchen-utensils | 13.64 | "Mepal Omnia Storage Jar - 1.1L (Black)" | "Mepal Omnia Storage Jar - 1.1L (Black)"
neff-17002428 | Neff | 17002428 | kitchen-utensils | 21.77 | "Storage jar" | "Storage jar"
neff-17002738 | Neff | 17002738 | cooking-accessories | 62 | "Professional Pan Set" | "Professional Pan Set"
neff-17002811 | Neff | 17002811 | cooker-hood-accessories | 496.24 | "Long Life recirculation kit" | "Long Life recirculation kit"
neff-17003241 | Neff | 17003241 | cooking-accessories | 60.46 | "Oven telescopic rails extension, 1-fold" | "Oven telescopic rails extension, 1-fold"
neff-17004032 | Neff | 17004032 | cooker-hood-accessories | 380.22 | "Long Life Recirculation Kit" | "Long Life Recirculation Kit"
