# slug | brand | code | assigned_leaf | price | title | description
bosch-17002811 | Bosch | 17002811 | cooking-accessories | 496.24 | "Long Life recirculation kit" | "Long Life recirculation kit"
bosch-17002914 | Bosch | 17002914 | cooking-accessories | 897.53 | "Long Life recirculation kit external inox" | "Long Life recirculation kit external inox"
bosch-17002978 | Bosch | 17002978 | cooking-accessories | 945.31 | "Long Life recirculation kit external white" | "Long Life recirculation kit external white"
bosch-17002979 | Bosch | 17002979 | cooking-accessories | 73.22 | "Standard recirculation kit for extractor hoods" | "Standard recirculation kit for extractor hoods"
bosch-17003020 | Bosch | 17003020 | cooking-accessories | 65.1 | "Enamel baking tray (2 piece)" | "Enamel baking tray (2 piece)"
bosch-17004032 | Bosch | 17004032 | cooking-accessories | 380.22 | "Long Life Recirculation Kit" | "Long Life Recirculation Kit"
bosch-17004033 | Bosch | 17004033 | cooking-accessories | 116.32 | "BergHOFF Pan Set (3 pcs)" | "BergHOFF Pan Set (3 pcs)"
bosch-17004034 | Bosch | 17004034 | cooking-accessories | 1319.09 | "Long Life odor filter (replacement) 3 pcs" | "Long Life odor filter (replacement) 3 pcs"
bosch-17004047 | Bosch | 17004047 | cooking-accessories | 633.02 | "Clean Air Plus recirculation kit external white" | "Clean Air Plus recirculation kit external white"
bosch-17004048 | Bosch | 17004048 | cooking-accessories | 633.02 | "Clean Air Plus recirculation kit external inox" | "Clean Air Plus recirculation kit external inox"
bosch-17004055 | Bosch | 17004055 | cooking-accessories | 287.1 | "Clean Air Plus recirculation kit external" | "Clean Air Plus recirculation kit external"
bosch-17004063 | Bosch | 17004063 | cooking-accessories | 287.1 | "Clean Air Plus recirculation kit external" | "Clean Air Plus recirculation kit external"
bosch-17004083 | Bosch | 17004083 | cooking-accessories | 97.61 | "Clean Air Plus odor filter (replacement) 230 x 190 x 100mm" | "Clean Air Plus odor filter (replacement) 230 x 190 x 100mm"
bosch-17004795 | Bosch | 17004795 | cooking-accessories | 79.96 | "Acoustic filter Acoustics Filter (4 filters + seal) Silencer for Exhaust mode" | "Acoustic filter Acoustics Filter (4 filters + seal)"
bosch-17004801 | Bosch | 17004801 | cooking-accessories | 79.96 | "Acoustics Filter (4 filters + seal) Silencer for Exhaust mode" | "Acoustics Filter (4 filters + seal) Silencer for Exhaust mode"
bosch-17005030 | Bosch | 17005030 | cooking-accessories | 32.17 | "Ventilation channel Flat duct 500mm" | "Ventilation channel Flat duct 500mm"
bosch-17005034 | Bosch | 17005034 | cooking-accessories | 34.16 | "Installation accessory Flat duct 90 ° vertical L" | "Installation accessory Flat duct 90 ° vertical L"
bosch-17005035 | Bosch | 17005035 | cooking-accessories | 34.16 | "Installation accessory Flat duct 90 ° vertical M" | "Installation accessory Flat duct 90 ° vertical M"
bosch-17005038 | Bosch | 17005038 | cooking-accessories | 37.36 | "Installation accessory Flat duct 150 mm connector sleeve female" | "Installation accessory Flat duct"
bosch-17005345 | Bosch | 17005345 | cooking-accessories | 61.28 | "Ventilation channel Flat duct 1000mm Black" | "Ventilation channel Flat duct 1000mm Black"
bosch-17005348 | Bosch | 17005348 | cooking-accessories | 37.36 | "Installation accessory Flat duct 90 ° horizontal" | "Installation accessory Flat duct 90 ° horizontal"
bosch-17005349 | Bosch | 17005349 | cooking-accessories | 37.36 | "Installation accessory Adapter duct 150 mm round-flat" | "Installation accessory Adapter duct"
bosch-17005350 | Bosch | 17005350 | cooking-accessories | 35.27 | "Installation accessory Adapter duct 150 mm, 90 ° round-flat" | "Installation accessory Adapter duct"
bosch-17005718 | Bosch | 17005718 | cooking-accessories | 104.71 | "Pro Induction Iron Pan Ø 28 cm" | "Pro Induction Iron Pan Ø 28 cm"
bosch-17005719 | Bosch | 17005719 | cooking-accessories | 218.16 | "Pro Induction Cookware Set - 4 Piece" | "Pro Induction Cookware Set - 4 Piece"
bosch-17005722 | Bosch | 17005722 | cooking-accessories | 290.81 | "Pro Induction Cookware Set - 6 Piece" | "Pro Induction Cookware Set - 6 Piece"
bosch-17005725 | Bosch | 17005725 | cooking-accessories | 100.12 | "Pro Induction Espresso Maker" | "Pro Induction Espresso Maker"
bosch-17005938 | Bosch | 17005938 | cooking-accessories | 14.2 | "Wok Ring" | "Wok Ring"
bosch-17006017 | Bosch | 17006017 | cooking-accessories | 75.6 | "Pro Induction Pasta metal inlay 24 cm" | "Pro Induction Pasta metal inlay 24 cm"
bosch-17006153 | Bosch | 17006153 | cooking-accessories | 33.34 | "Installation accessory 90° flat duct S vertical" | "Installation accessory 90° flat duct S vertical"
bosch-17006154 | Bosch | 17006154 | cooking-accessories | 98.78 | "Installation accessory Flat duct ⌀ 150 mm connector sleeve female" | "Installation accessory Flat duct ⌀ 150 mm connector"
bosch-17006180 | Bosch | 17006180 | cooking-accessories | 70.79 | "Pro Induction Saucepan - 16cm, 1.5L" | "Pro Induction Saucepan - 16cm, 1.5L"
bosch-17006181 | Bosch | 17006181 | cooking-accessories | 75.66 | "Pro Induction Pot With Lid - 16cm, 2L" | "Pro Induction Pot With Lid - 16cm, 2L"
bosch-17006182 | Bosch | 17006182 | cooking-accessories | 78.77 | "Pro Induction Pot With Lid - 20cm, 3.5L" | "Pro Induction Pot With Lid - 20cm, 3.5L"
bosch-17006183 | Bosch | 17006183 | cooking-accessories | 86.46 | "Pro Induction Pot With Lid - 24cm, 5.5L" | "Pro Induction Pot With Lid - 24cm, 5.5L"
bosch-17006184 | Bosch | 17006184 | cooking-accessories | 94.24 | "Pro Induction Frying Pan - 24cm" | "Pro Induction Frying Pan - 24cm"
